tvg-id,tvg-name,tvg-logo,group-title,title,address,hd
1,CCTV1,http://epg.51zmt.top:8000/tb1/CCTV/CCTV1.png,央视,CCTV-1综合,239.93.1.152:5140,1
2,CCTV2,http://epg.51zmt.top:8000/tb1/CCTV/CCTV2.png,央视,CCTV-2财经,239.93.1.23:6000,1
3,CCTV3,http://epg.51zmt.top:8000/tb1/CCTV/CCTV3.png,央视,CCTV-3综艺,239.93.1.11:2223,1
4,CCTV4,http://epg.51zmt.top:8000/tb1/CCTV/CCTV4.png,央视,CCTV-4中文国际,239.93.1.192:5140,1
5,CCTV5,http://epg.51zmt.top:8000/tb1/CCTV/CCTV5.png,央视,CCTV-5体育,239.93.1.12:2224,1
6,CCTV5+,http://epg.51zmt.top:8000/tb1/CCTV/CCTV5+.png,央视,CCTV-5+体育赛事,239.93.1.36:8004,1
7,CCTV6,http://epg.51zmt.top:8000/tb1/CCTV/CCTV6.png,央视,CCTV-6电影,239.93.1.155:2226,1
8,CCTV7,http://epg.51zmt.top:8000/tb1/CCTV/CCTV7.png,央视,CCTV-7国防军事,239.93.1.67:5140,1
9,CCTV8,http://epg.51zmt.top:8000/tb1/CCTV/CCTV8.png,央视,CCTV-8电视剧,239.93.1.162:2225,1
10,CCTV9,http://epg.51zmt.top:8000/tb1/CCTV/CCTV9.png,央视,CCTV-9纪录,239.93.1.163:5140,1
11,CCTV10,http://epg.51zmt.top:8000/tb1/CCTV/CCTV10.png,央视,CCTV-10科教,239.93.1.28:5140,1
12,CCTV11,http://epg.51zmt.top:8000/tb1/CCTV/CCTV11.png,央视,CCTV-11戏曲,239.93.0.102:5140,1
13,CCTV12,http://epg.51zmt.top:8000/tb1/CCTV/CCTV12.png,央视,CCTV-12社会与法,239.93.1.30:8124,1
14,CCTV13,http://epg.51zmt.top:8000/tb1/CCTV/CCTV13.png,央视,CCTV-13新闻,http://httpdvb.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000067,1
15,CCTV14,http://epg.51zmt.top:8000/tb1/CCTV/CCTV14.png,央视,CCTV-14少儿,239.93.1.29:6000,1
16,CCTV15,http://epg.51zmt.top:8000/tb1/CCTV/CCTV15.png,央视,CCTV-15音乐,239.93.0.103:5140,1
17,CCTV17,http://epg.51zmt.top:8000/tb1/CCTV/CCTV17.png,央视,CCTV-17农村农业,239.93.0.92:5140,1
106,CCTV4K,http://epg.51zmt.top:8000/tb1/CCTV/CCTV4k.png,央视,CCTV4K超高清,http://112.17.40.140/PLTV/88888888/224/3221226758/index.m3u8,2
20,CGTN,http://epg.51zmt.top:8000/tb1/CCTV/cgtn.png,央视,CGTN,http://hdtv.lzu6.edu.cn/hls/hls67a43.m3u8,1
6558,第一剧场,http://epg.51zmt.top:8000/tb1/CCTV/CCTVdiyijuchang.png,央视,第一剧场,http://hdtv.lzu6.edu.cn/hls/dyjctv.m3u8,1
